timestamp,host,value
1493338980,h03,0.4
1493338980,h02,0.72
1493338981,s01,0.02
1493338990,h02,0.61
1493338990,h03,0.41
1493338990,h01,0.96
1493338991,s01,0.01
1493339000,h01,0.81
1493339000,h03,0.35
1493339000,h02,0.52
1493339001,s01,0.01
1493339010,h02,0.52
1493339010,h03,0.52
1493339010,h01,0.84
1493339011,s01,0.01
1493339020,h01,0.87
1493339020,h03,0.6
1493339020,h02,0.59
1493339021,s01,0.09
1493339030,h02,0.66
1493339030,h03,0.73
1493339030,h01,1.11
1493339031,s01,0.15
1493339040,h01,1.01
1493339040,h03,0.85
1493339040,h02,0.78
1493339041,s01,0.21
1493339050,h02,0.74
1493339050,h03,0.87
1493339050,h01,1.08
1493339051,s01,0.17
1493339060,h01,1.07
1493339060,h03,0.89
1493339060,h02,0.78
1493339061,s01,0.15
1493339070,h02,0.89
1493339070,h03,0.91
1493339070,h01,0.98
1493339071,s01,0.12
1493339080,h01,1.13
1493339080,h03,0.92
1493339080,h02,0.83
1493339081,s01,0.1
1493339090,h02,0.85
1493339090,h03,0.93
1493339090,h01,1.1
1493339091,s01,0.09
1493339100,h01,0.93
1493339100,h03,1.03
1493339100,h02,0.72
1493339101,s01,0.15
1493339110,h02,0.77
1493339110,h03,0.94
1493339110,h01,0.79
1493339111,s01,0.13
1493339120,h01,0.67
1493339120,h03,0.8
1493339120,h02,0.73
1493339121,s01,0.11
1493339130,h02,0.7
1493339130,h03,0.67
1493339130,h01,0.64
1493339131,s01,0.09
1493339140,h01,0.62
1493339140,h03,0.57
1493339140,h02,0.91
1493339141,s01,0.08
1493339150,h02,0.77
1493339150,h03,0.48
1493339150,h01,0.6
1493339151,s01,0.06
1493339160,h01,0.73
1493339160,h03,0.41
1493339160,h02,0.73
1493339161,s01,0.05
1493339170,h02,0.84
1493339170,h03,0.5
1493339170,h01,0.92
1493339171,s01,0.05
1493339180,h01,0.93
1493339180,h03,1.16
1493339180,h02,0.94
1493339181,s01,0.04
1493339190,h02,0.95
1493339190,h03,1.14
1493339190,h01,0.86
1493339191,s01,0.03
1493339200,h01,0.81
1493339200,h03,1.12
1493339200,h02,0.88
1493339201,s01,0.03
1493339210,h02,0.98
1493339210,h03,0.95
1493339210,h01,0.91
1493339211,s01,0.02
1493339220,h01,1.07
1493339220,h03,1.03
1493339220,h02,1.14
1493339221,s01,0.02
1493339230,h02,1.2
1493339230,h03,1.1
1493339230,h01,1.14
1493339231,s01,0.02
1493339240,h01,1.11
1493339240,h03,1.32
1493339240,h02,1.25
1493339241,s01,0.01
1493339250,h02,1.13
1493339250,h03,1.19
1493339250,h01,1.02
1493339251,s01,0.01
1493339260,h01,0.86
1493339260,h03,1
1493339260,h02,0.96
1493339261,s01,0.01
1493339270,h02,0.89
1493339270,h03,0.85
1493339270,h01,0.81
1493339271,s01,0.01
1493339280,h01,0.76
1493339280,h03,0.72
1493339280,h02,0.75
1493339281,s01,0
1493339290,h02,0.79
1493339290,h03,0.69
1493339290,h01,0.8
1493339291,s01,0
1493339300,h01,0.82
1493339300,h03,0.66
1493339300,h02,0.75
1493339301,s01,0
1493339310,h02,0.79
1493339310,h03,0.63
1493339310,h01,0.77
1493339311,s01,0
1493339320,h01,0.73
1493339320,h03,0.69
1493339320,h02,0.89
1493339321,s01,0.16
1493339330,h02,0.84
1493339330,h03,0.66
1493339330,h01,0.77
1493339331,s01,0.14
1493339340,h01,0.8
1493339340,h03,0.64
1493339340,h02,0.86
1493339341,s01,0.11
1493339350,h02,0.96
1493339350,h03,0.94
1493339350,h01,0.83
1493339351,s01,0.1
1493339360,h01,0.78
1493339360,h03,0.95
1493339360,h02,0.97
1493339361,s01,0.08
1493339370,h02,0.82
1493339370,h03,0.8
1493339370,h01,0.73
1493339371,s01,0.07
1493339380,h01,0.62
1493339380,h03,0.68
1493339380,h02,0.77
1493339381,s01,0.06
1493339390,h02,0.65
1493339390,h03,0.73
1493339390,h01,0.53
1493339391,s01,0.05
1493339400,h01,0.52
1493339400,h03,0.78
1493339400,h02,0.55
1493339401,s01,0.04
1493339410,h02,0.47
1493339410,h03,0.89
1493339410,h01,0.52
1493339411,s01,0.03
1493339420,h01,0.44
1493339420,h03,0.75
1493339420,h02,0.4
1493339421,s01,0.03
1493339430,h02,0.41
1493339430,h03,0.64
1493339430,h01,0.37
1493339431,s01,0.02
1493339440,h01,0.46
1493339440,h03,0.61
1493339440,h02,0.35
1493339441,s01,0.02
1493339450,h02,0.53
1493339450,h03,0.52
1493339450,h01,0.54
1493339451,s01,0.02
1493339460,h01,0.46
1493339460,h03,0.44
1493339460,h02,0.45
1493339461,s01,0.01
1493339470,h02,0.46
1493339470,h03,0.37
1493339470,h01,0.61
1493339471,s01,0.01
1493339480,h01,0.66
1493339480,h03,0.31
1493339480,h02,0.39
1493339481,s01,0.01
1493339490,h02,0.33
1493339490,h03,0.34
1493339490,h01,0.72
1493339491,s01,0.01
1493339500,h01,0.61
1493339500,h03,0.29
1493339500,h02,0.28
1493339501,s01,0
1493339510,h02,0.24
1493339510,h03,0.41
1493339510,h01,0.52
1493339511,s01,0
1493339520,h01,0.51
1493339520,h03,0.42
1493339520,h02,0.35
1493339521,s01,0
1493339530,h02,0.61
1493339530,h03,0.35
1493339530,h01,0.43
1493339531,s01,0
1493339540,h01,0.44
1493339540,h03,0.3
1493339540,h02,0.74
1493339541,s01,0
1493339550,h02,0.63
1493339550,h03,0.41
1493339550,h01,0.37
1493339551,s01,0
1493339560,h01,0.39
1493339560,h03,0.42
1493339560,h02,0.53
1493339561,s01,0.08
1493339570,h02,1.01
1493339570,h03,0.35
1493339570,h01,0.33
1493339571,s01,0.07
1493339580,h01,0.36
1493339580,h03,0.45
1493339580,h02,0.85
1493339581,s01,0.06
1493339590,h02,0.72
1493339590,h03,0.45
1493339590,h01,0.37
1493339591,s01,0.05
1493339600,h01,0.4
1493339600,h03,0.54
1493339600,h02,1.29
1493339601,s01,0.04
1493339610,h02,1.09
1493339610,h03,0.46
1493339610,h01,0.34
1493339611,s01,0.11
1493339620,h01,0.28
1493339620,h03,0.39
1493339620,h02,1.07
1493339621,s01,0.09
1493339630,h02,0.9
1493339630,h03,0.33
1493339630,h01,0.7
1493339631,s01,0.08
1493339640,h01,0.64
1493339640,h03,0.44
1493339640,h02,0.76
1493339641,s01,0.06
1493339650,h02,0.65
1493339650,h03,0.45
1493339650,h01,0.54
1493339651,s01,0.05
1493339660,h01,0.62
1493339660,h03,0.54
1493339660,h02,0.55
1493339661,s01,0.04
1493339670,h02,0.46
1493339670,h03,0.91
1493339670,h01,0.52
1493339671,s01,0.04
1493339680,h01,0.44
1493339680,h03,0.92
1493339680,h02,0.47
